sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape
pair_13_07,pair_13,000000011372,000000056369,access,cupcake,21,0.5311840772628784,0.8808459043502808,0.4616270065307617,0.41921889781951904,"(1, 577, 1024)"
pair_13_07,pair_13,000000011372,000000056369,access,cupcake,22,0.47085320949554443,0.8565422892570496,0.40237581729888916,0.4541664719581604,"(1, 577, 1024)"
pair_13_07,pair_13,000000011372,000000056369,access,cupcake,23,0.4850963354110718,0.8602460026741028,0.4157780408859253,0.4444679617881775,"(1, 577, 1024)"
pair_13_07,pair_13,000000011372,000000056369,access,cupcake,24,0.5232323408126831,0.8658992052078247,0.45743662118911743,0.4084625840187073,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,0,0.8424644470214844,0.1105792224407196,0.09345974773168564,0.017119474709033966,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,1,0.7667089104652405,0.17084521055221558,0.22311419248580933,-0.05226898193359375,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,2,0.6947888731956482,0.22011348605155945,0.2914518117904663,-0.07133832573890686,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,3,0.6126074194908142,0.22937823832035065,0.3613835573196411,-0.13200531899929047,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,4,0.5965365171432495,0.28793397545814514,0.35356029868125916,-0.06562632322311401,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,5,0.5417883396148682,0.27480459213256836,0.3261655867099762,-0.05136099457740784,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,6,0.5259101986885071,0.25879061222076416,0.3325311839580536,-0.07374057173728943,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,7,0.5197286605834961,0.2689918279647827,0.3095911145210266,-0.040599286556243896,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,8,0.4910714328289032,0.2554214596748352,0.2902052700519562,-0.03478381037712097,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,9,0.47095632553100586,0.24039046466350555,0.26404282450675964,-0.02365235984325409,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,10,0.4336749315261841,0.22052040696144104,0.2453562319278717,-0.024835824966430664,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,11,0.41551563143730164,0.22545194625854492,0.20507721602916718,0.020374730229377747,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,12,0.3246253430843353,0.19103702902793884,0.14470629394054413,0.046330735087394714,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,13,0.18745017051696777,0.1261579394340515,0.0510893352329731,0.07506860420107841,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,14,0.1730503886938095,0.1709902435541153,0.04844079911708832,0.12254944443702698,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,15,0.16107143461704254,0.2036517709493637,0.039851248264312744,0.16380052268505096,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,16,0.1778373420238495,0.26451051235198975,0.046537019312381744,0.217973493039608,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,17,0.2174215167760849,0.3531534969806671,0.07431492954492569,0.2788385674357414,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,18,0.23646974563598633,0.40169429779052734,0.09531533718109131,0.30637896060943604,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,19,0.279911607503891,0.4818277657032013,0.13973075151443481,0.3420970141887665,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,20,0.3690848648548126,0.6377009749412537,0.2379317581653595,0.39976921677589417,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,21,0.553188145160675,0.8964243531227112,0.4892696142196655,0.40715473890304565,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,22,0.5128647089004517,0.8793362379074097,0.4480955898761749,0.43124064803123474,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,23,0.5206294059753418,0.8827574849128723,0.4549010992050171,0.4278563857078552,"(1, 577, 1024)"
pair_13_08,pair_13,000000032611,000000064993,access,cupcake,24,0.5511968731880188,0.8855029940605164,0.49079790711402893,0.3947050869464874,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,0,0.8621532320976257,0.02342926152050495,0.020951682701706886,0.002477578818798065,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,1,0.7916321158409119,0.08800823986530304,0.10923144221305847,-0.021223202347755432,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,2,0.7109056115150452,0.1478257179260254,0.16522316634655,-0.017397448420524597,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,3,0.6273201107978821,0.18862363696098328,0.2618882656097412,-0.07326462864875793,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,4,0.6047893762588501,0.26561257243156433,0.2769453525543213,-0.011332780122756958,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,5,0.5488498210906982,0.2650078237056732,0.2673318386077881,-0.002324014902114868,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,6,0.5290578007698059,0.24820703268051147,0.28117236495018005,-0.03296533226966858,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,7,0.5115804076194763,0.25920581817626953,0.2778888940811157,-0.01868307590484619,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,8,0.47284695506095886,0.2393067330121994,0.2660438120365143,-0.02673707902431488,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,9,0.4411197900772095,0.22308386862277985,0.2453220635652542,-0.022238194942474365,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,10,0.39939072728157043,0.21956217288970947,0.22393083572387695,-0.0043686628341674805,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,11,0.3871627151966095,0.2200217843055725,0.18872255086898804,0.03129923343658447,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,12,0.3001876473426819,0.18588857352733612,0.11406754702329636,0.07182102650403976,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,13,0.17139151692390442,0.13744758069515228,0.04180469736456871,0.09564288333058357,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,14,0.15410582721233368,0.17216815054416656,0.041697148233652115,0.13047100231051445,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,15,0.14112317562103271,0.2147848755121231,0.0362950935959816,0.1784897819161415,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,16,0.15317462384700775,0.27032968401908875,0.04269159585237503,0.22763808816671371,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,17,0.18694312870502472,0.35736173391342163,0.06702864915132523,0.2903330847620964,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,18,0.20656248927116394,0.41576212644577026,0.08513960987329483,0.33062251657247543,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,19,0.2467280626296997,0.49625080823898315,0.1221749559044838,0.37407585233449936,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,20,0.33519136905670166,0.6359254121780396,0.21408937871456146,0.4218360334634781,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,21,0.48230817914009094,0.8855339288711548,0.41885384917259216,0.4666800796985626,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,22,0.44983917474746704,0.8664619326591492,0.38588476181030273,0.48057717084884644,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,23,0.45863035321235657,0.8634814023971558,0.39285609126091003,0.4706253111362457,"(1, 577, 1024)"
pair_13_09,pair_13,000000008842,000000039889,access,cupcake,24,0.49931788444519043,0.8686282634735107,0.43861156702041626,0.4300166964530945,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,0,0.8618723154067993,-0.0069699459709227085,-0.019973719492554665,0.013003773521631956,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,1,0.7865546941757202,0.056492142379283905,0.07894911617040634,-0.022456973791122437,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,2,0.7134494781494141,0.15434494614601135,0.17056982219219208,-0.016224876046180725,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,3,0.6317986249923706,0.20355354249477386,0.23497726023197174,-0.031423717737197876,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,4,0.6075661182403564,0.29228466749191284,0.26109039783477783,0.03119426965713501,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,5,0.5478959679603577,0.287246972322464,0.24647320806980133,0.04077376425266266,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,6,0.5185193419456482,0.2638471722602844,0.2460201382637024,0.01782703399658203,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,7,0.49637386202812195,0.28038671612739563,0.25225892663002014,0.02812778949737549,"(1, 577, 1024)"
