pair_id,layer,R_mean,R_median,T_mean,T_median,B_mean,B_median,G_mean,G_median,M_mean,M_median,n_samples,G_positive_count,G_positive_pct,M_positive_count,M_positive_pct,total_pair_samples,coverage_pct
pair_15,20,0.21710275486111635,0.21005631983280176,0.5883475318551064,0.573459267616272,0.12032052921131249,0.11773226037621495,0.4680270026437938,0.46231962367892265,0.37124477699398994,0.3645897954702378,16,16,100.0,16,100.0,16,100.0
pair_15,21,0.2654682276770472,0.24984920024871826,0.8118420764803886,0.8018495440483093,0.2129988772794604,0.20056686550378794,0.5988431992009282,0.6031281352043152,0.5463738488033414,0.5583669170737267,16,16,100.0,16,100.0,16,100.0
pair_15,22,0.26998572144657373,0.2513953596353531,0.7956632077693939,0.7852450609207153,0.21246870514005417,0.20753338187932963,0.5831945026293397,0.5885246247053146,0.5256774863228202,0.5326669961214066,16,16,100.0,16,100.0,16,100.0
pair_15,23,0.2906031059101224,0.28082552552223206,0.8067791722714901,0.798250675201416,0.23161419108510015,0.22363862395286555,0.5751649811863899,0.5776125714182854,0.5161760663613677,0.5147736668586731,16,16,100.0,16,100.0,16,100.0
pair_15,24,0.3819170873612165,0.37902161478996277,0.8216044045984745,0.8128488063812256,0.321714349091053,0.31231364607810974,0.4998900555074215,0.49512501060962677,0.43968731723725796,0.4269606769084931,16,16,100.0,16,100.0,16,100.0
pair_16,0,0.8429541029036045,0.8390941023826599,0.10646925144828852,0.1104910112917423,0.11210976075381036,0.11644263565540311,-0.005640509305521839,-0.005139011889696149,-0.736484851455316,-0.7268347479403019,16,1,6.25,0,0.0,16,100.0
pair_16,1,0.8143251650035381,0.810539573431015,0.13895598612725732,0.14730062335729593,0.15780763654038307,0.16633904725313187,-0.01885165041312576,-0.017599586397409453,-0.6753691788762808,-0.664644543081522,16,0,0.0,0,0.0,16,100.0
pair_16,2,0.796056117862463,0.787972629070282,0.20257817208766932,0.20172017067670814,0.23039041738957164,0.232279784977436,-0.0278122453019023,-0.030298985540866852,-0.5934779457747936,-0.5811702758073807,16,0,0.0,0,0.0,16,100.0
pair_16,3,0.7616636343300343,0.751117616891861,0.21065689343959088,0.21221847832202906,0.26586955133825535,0.26697480678558344,-0.05521265789866449,-0.06038323044776915,-0.5510067408904433,-0.5443434417247772,16,0,0.0,0,0.0,16,100.0
pair_16,4,0.7537035755813122,0.7462989687919617,0.2791137164458632,0.2831045091152191,0.3060021083801984,0.3072106093168258,-0.02688839193433523,-0.02705685794353485,-0.47458985913544893,-0.4843895807862282,16,0,0.0,0,0.0,16,100.0
pair_16,5,0.7174321487545967,0.7123040556907654,0.2743483874946832,0.27684189379215235,0.2913796603679657,0.2935958504676819,-0.017031272873282453,-0.018670164048671764,-0.44308376125991344,-0.45380041003227234,16,0,0.0,0,0.0,16,100.0
pair_16,6,0.6817193292081356,0.67351895570755,0.2555720042437315,0.25926078855991364,0.2757562352344394,0.275163859128952,-0.020184230990707867,-0.019948050379753113,-0.4261473249644041,-0.4246649444103241,16,0,0.0,0,0.0,16,100.0
pair_16,7,0.6564488187432289,0.6472707688808441,0.27291671279817814,0.27524329721927643,0.2741476083174348,0.2747754007577896,-0.0012308955192566057,-0.0012408792972564975,-0.38353210594505077,-0.3769524917006494,16,7,43.75,0,0.0,16,100.0
pair_16,8,0.6167729236185551,0.6026064455509186,0.2549395412206649,0.26031921803951263,0.24721203278750178,0.24867596477270124,0.007727508433163163,0.006397381424903897,-0.3618333823978901,-0.3572806417942047,16,12,75.0,0,0.0,16,100.0
