sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape,M,normalized_target_distance_reduction
pair_05_00,pair_05,000000020298,000000038604,drink,men,16,0.0624795891344547,0.6376726031303406,0.0367744527757167,0.6008981503546239,"(1, 577, 1024)",0.5751930139958858,0.623839506838482
pair_05_00,pair_05,000000020298,000000038604,drink,men,17,0.0784573033452034,0.6477677822113037,0.0480561852455139,0.5997115969657898,"(1, 577, 1024)",0.5693104788661003,0.6299863370827827
pair_05_00,pair_05,000000020298,000000038604,drink,men,18,0.0871197655797004,0.6587027907371521,0.0613659657537937,0.5973368249833584,"(1, 577, 1024)",0.5715830251574517,0.6363894800203626
pair_05_00,pair_05,000000020298,000000038604,drink,men,19,0.1166745424270629,0.6789227724075317,0.0857872515916824,0.5931355208158493,"(1, 577, 1024)",0.5622482299804689,0.6487937538045963
pair_05_00,pair_05,000000020298,000000038604,drink,men,20,0.1666593551635742,0.7358858585357666,0.1267486065626144,0.6091372519731522,"(1, 577, 1024)",0.5692265033721924,0.6975508502487479
pair_05_00,pair_05,000000020298,000000038604,drink,men,21,0.3667618036270141,0.8954392075538635,0.3254198431968689,0.5700193643569946,"(1, 577, 1024)",0.5286774039268494,0.8449987130637592
pair_05_00,pair_05,000000020298,000000038604,drink,men,22,0.3194561600685119,0.8809197545051575,0.2820041477680206,0.5989156067371368,"(1, 577, 1024)",0.5614635944366455,0.8341491178191813
pair_05_00,pair_05,000000020298,000000038604,drink,men,23,0.3323190212249756,0.8891675472259521,0.2963355779647827,0.5928319692611694,"(1, 577, 1024)",0.5568485260009766,0.8424924590424996
pair_05_00,pair_05,000000020298,000000038604,drink,men,24,0.4029944241046905,0.8944118022918701,0.371099591255188,0.5233122110366821,"(1, 577, 1024)",0.4914173781871796,0.8321066479844279
pair_05_01,pair_05,000000024862,000000063828,drink,men,0,0.844343900680542,0.2361042499542236,0.2712059915065765,-0.03510174155235288,"(1, 577, 1024)",-0.6082396507263184,-0.048164146718104685
pair_05_01,pair_05,000000024862,000000063828,drink,men,1,0.7979351282119751,0.2275901287794113,0.2777333259582519,-0.05014319717884061,"(1, 577, 1024)",-0.5703449994325638,-0.06942476924519192
pair_05_01,pair_05,000000024862,000000063828,drink,men,2,0.7403576970100403,0.265635222196579,0.3335849344730377,-0.06794971227645874,"(1, 577, 1024)",-0.4747224748134613,-0.10196304944385982
pair_05_01,pair_05,000000024862,000000063828,drink,men,3,0.6788361072540283,0.2425984889268875,0.3748565018177032,-0.13225801289081568,"(1, 577, 1024)",-0.4362376183271408,-0.2115642460897005
pair_05_01,pair_05,000000024862,000000063828,drink,men,4,0.6496293544769287,0.2852786183357239,0.3797902166843414,-0.0945115983486175,"(1, 577, 1024)",-0.36435073614120483,-0.1523865003279308
pair_05_01,pair_05,000000024862,000000063828,drink,men,5,0.6051635146141052,0.2568391561508178,0.3417030870914459,-0.08486393094062811,"(1, 577, 1024)",-0.3483243584632874,-0.12891436869371556
pair_05_01,pair_05,000000024862,000000063828,drink,men,6,0.5749680399894714,0.2442782819271087,0.3355363607406616,-0.09125807881355291,"(1, 577, 1024)",-0.3306897580623627,-0.13734096709230936
pair_05_01,pair_05,000000024862,000000063828,drink,men,7,0.5553039908409119,0.2493415772914886,0.3000321090221405,-0.05069053173065191,"(1, 577, 1024)",-0.3059624135494233,-0.07241836716229501
pair_05_01,pair_05,000000024862,000000063828,drink,men,8,0.5175093412399292,0.2215730249881744,0.265023410320282,-0.04345038533210757,"(1, 577, 1024)",-0.29593631625175476,-0.059118053475746786
pair_05_01,pair_05,000000024862,000000063828,drink,men,9,0.4780615568161011,0.2139750868082046,0.2389640808105468,-0.024988994002342196,"(1, 577, 1024)",-0.2640864700078965,-0.032835498788226586
pair_05_01,pair_05,000000024862,000000063828,drink,men,10,0.4227720499038696,0.1964128017425537,0.205500453710556,-0.009087651968002292,"(1, 577, 1024)",-0.22635924816131586,-0.011438209134850243
pair_05_01,pair_05,000000024862,000000063828,drink,men,11,0.3719482719898224,0.1857606917619705,0.1745421886444091,0.011218503117561396,"(1, 577, 1024)",-0.1861875802278519,0.0135906438381606
pair_05_01,pair_05,000000024862,000000063828,drink,men,12,0.2816587686538696,0.1492509096860885,0.1171596720814704,0.0320912376046181,"(1, 577, 1024)",-0.13240785896778107,0.03634999058128612
