layer_i,layer_j,block_i,block_j,source,adversarial,target,delta_adv_minus_source
3,9,early,middle,0.8084839582443237,0.785496711730957,0.8280712366104126,-0.0229872465133667
3,10,early,middle,0.7347793579101562,0.6299406886100769,0.7481889724731445,-0.10483866930007935
3,11,early,middle,0.6896631717681885,0.5516809225082397,0.6982479095458984,-0.13798224925994873
3,12,early,middle,0.6495589017868042,0.4770673811435699,0.6557993292808533,-0.1724915206432343
3,13,early,middle,0.5999208688735962,0.3843540847301483,0.6047685742378235,-0.21556678414344788
3,14,early,middle,0.5522847771644592,0.3152482509613037,0.5590283870697021,-0.23703652620315552
3,15,early,middle,0.5064321756362915,0.2591061890125274,0.5103680491447449,-0.2473259866237641
3,16,early,middle,0.4879896640777588,0.1996545791625976,0.4866038858890533,-0.2883350849151612
3,17,early,deep,0.4512572288513183,0.1511744856834411,0.4528176188468933,-0.3000827431678772
3,18,early,deep,0.4438713788986206,0.1354580521583557,0.4318883419036865,-0.3084133267402649
3,19,early,deep,0.4312056005001068,0.125542014837265,0.424391508102417,-0.3056635856628418
3,20,early,deep,0.4281447827816009,0.0924897566437721,0.4287411272525787,-0.3356550261378288
3,21,early,deep,0.3629531860351562,0.0222774948924779,0.4068813621997833,-0.3406756911426783
3,22,early,deep,0.3842815458774566,0.0310230664908885,0.4274950325489044,-0.3532584793865681
3,23,early,deep,0.3904218077659607,0.0350037142634391,0.4302406311035156,-0.35541809350252157
3,24,early,deep,0.3944156467914581,0.0399051904678344,0.4320580065250397,-0.35451045632362366
4,5,early,early,0.980508267879486,0.9790135025978088,0.9831772446632384,-0.001494765281677135
4,6,early,early,0.9503808617591858,0.9432750940322876,0.9521368145942688,-0.007105767726898193
4,7,early,early,0.9286410212516784,0.9262304306030272,0.9316385984420776,-0.002410590648651123
4,8,early,early,0.9138606190681458,0.902886927127838,0.9107177257537842,-0.010973691940307728
4,9,early,middle,0.8849839568138123,0.8598716259002686,0.8710816502571106,-0.0251123309135437
4,10,early,middle,0.8151570558547974,0.721441924571991,0.7905733585357666,-0.0937151312828064
4,11,early,middle,0.7590531706809998,0.6270424723625183,0.7352731227874756,-0.13201069831848145
4,12,early,middle,0.6998485922813416,0.5439838767051697,0.6776016354560852,-0.15586471557617188
4,13,early,middle,0.6493861675262451,0.4464611113071441,0.6217980980873108,-0.202925056219101
4,14,early,middle,0.6011384725570679,0.357326477766037,0.5746617913246155,-0.24381199479103088
4,15,early,middle,0.5497685670852661,0.2903013527393341,0.5228363275527954,-0.259467214345932
4,16,early,middle,0.534013032913208,0.2214984595775604,0.5004925727844238,-0.3125145733356476
4,17,early,deep,0.500636875629425,0.1659216880798339,0.4680445492267608,-0.3347151875495912
4,18,early,deep,0.4980684518814087,0.1473834663629531,0.4498980641365051,-0.3506849855184556
4,19,early,deep,0.4878417551517486,0.1381189525127411,0.4412317276000976,-0.3497228026390075
4,20,early,deep,0.5076255202293396,0.1026855111122131,0.445114254951477,-0.4049400091171265
4,21,early,deep,0.4354322850704193,0.0250507183372974,0.3975684940814972,-0.4103815667331219
4,22,early,deep,0.4622216522693634,0.0340249203145504,0.4221285879611969,-0.428196731954813
4,23,early,deep,0.4677373766899109,0.0386316254734993,0.4277748465538025,-0.4291057512164116
4,24,early,deep,0.4711975455284118,0.0446664690971374,0.4291702806949615,-0.4265310764312744
5,6,early,early,0.98756742477417,0.9812590479850768,0.9850837588310242,-0.00630837678909324
5,7,early,early,0.970171332359314,0.9665361642837524,0.9671372771263124,-0.0036351680755615234
5,8,early,early,0.9523480534553528,0.946600079536438,0.942824363708496,-0.005747973918914795
5,9,early,middle,0.9200133085250854,0.9053747057914734,0.900645911693573,-0.01463860273361206
5,10,early,middle,0.8506546020507812,0.7781660556793213,0.8185967803001404,-0.07248854637145996
5,11,early,middle,0.7866545915603638,0.665238082408905,0.7566360831260681,-0.12141650915145874
5,12,early,middle,0.7174637913703918,0.581422746181488,0.6895854473114014,-0.1360410451889038
5,13,early,middle,0.6685389876365662,0.4931239187717438,0.630988359451294,-0.1754150688648224
5,14,early,middle,0.6150567531585693,0.3857918977737427,0.5815028548240662,-0.22926485538482666
5,15,early,middle,0.5602412819862366,0.3061623871326446,0.5256732702255249,-0.254078894853592
5,16,early,middle,0.5478401184082031,0.2306515276432037,0.5047808289527893,-0.3171885907649994
5,17,early,deep,0.5147075057029724,0.1707166135311126,0.4729290306568146,-0.34399089217185985
5,18,early,deep,0.5165440440177917,0.1500866711139679,0.4569794833660126,-0.36645737290382385
5,19,early,deep,0.5077481269836426,0.1410476863384246,0.4490093886852264,-0.366700440645218
5,20,early,deep,0.5450561046600342,0.1066406965255737,0.4626984000205993,-0.43841540813446045
5,21,early,deep,0.4717753231525421,0.0264373905956745,0.4071352481842041,-0.4453379325568676
5,22,early,deep,0.5021500587463379,0.0357689559459686,0.43585205078125,-0.46638110280036926
5,23,early,deep,0.5060248374938965,0.0403141677379608,0.4416382312774658,-0.46571066975593567
5,24,early,deep,0.5089461207389832,0.0470874682068824,0.4429967999458313,-0.46185865253210073
6,7,early,early,0.9909692406654358,0.991146981716156,0.9894527196884156,0.00017774105072021484
6,8,early,early,0.9767926335334778,0.9756717085838318,0.9703208208084106,-0.001120924949645996
6,9,early,middle,0.9467225670814514,0.9396615028381348,0.9332250952720642,-0.00706106424331665
6,10,early,middle,0.8827272057533264,0.8181927800178528,0.8563318252563477,-0.06453442573547363
6,11,early,middle,0.8174606561660767,0.6997051239013672,0.7930824756622314,-0.11775553226470947
6,12,early,middle,0.7455450892448425,0.6150758266448975,0.7237259745597839,-0.13046926259994507
6,13,early,middle,0.6987981796264648,0.5348796248435974,0.6649748086929321,-0.16391855478286743
6,14,early,middle,0.6412693858146667,0.4183694422245025,0.6136850118637085,-0.22289994359016424
6,15,early,middle,0.5855045318603516,0.3276700675487518,0.5550685524940491,-0.2578344643115998
6,16,early,middle,0.574021577835083,0.24522165954113,0.53485107421875,-0.328799918293953
6,17,early,deep,0.5409879088401794,0.1797129213809967,0.5027092695236206,-0.36127498745918274
6,18,early,deep,0.544050931930542,0.1560963988304138,0.4879423081874847,-0.3879545331001282
6,19,early,deep,0.5356225967407227,0.1448685377836227,0.4801376760005951,-0.39075405895709997
6,20,early,deep,0.5798690915107727,0.1093988716602325,0.5002020001411438,-0.4704702198505402
6,21,early,deep,0.4922754764556885,0.0284124501049518,0.4260129928588867,-0.4638630263507367
6,22,early,deep,0.5264921188354492,0.037805400788784,0.4596301019191742,-0.4886867180466652
6,23,early,deep,0.5319043397903442,0.0423633232712745,0.4681209921836853,-0.4895410165190697
6,24,early,deep,0.5354360938072205,0.0490714348852634,0.4704475402832031,-0.48636465892195707
7,8,early,early,0.9911901950836182,0.9898916482925416,0.9887503385543824,-0.0012985467910765491
7,9,early,middle,0.9669675827026368,0.958619236946106,0.9589737057685852,-0.008348345756530873
7,10,early,middle,0.9090548157691956,0.8443762063980103,0.8894672393798828,-0.0646786093711853
7,11,early,middle,0.8476582169532776,0.726301908493042,0.8281542658805847,-0.1213563084602356
7,12,early,middle,0.7768951654434204,0.6415416598320007,0.7575879096984863,-0.13535350561141968
7,13,early,middle,0.7306488156318665,0.5585234761238098,0.6980712413787842,-0.17212533950805664
7,14,early,middle,0.673265814781189,0.4380748867988586,0.6490289568901062,-0.23519092798233038
7,15,early,middle,0.6199637651443481,0.3444333970546722,0.5923633575439453,-0.27553036808967596
7,16,early,middle,0.6075295209884644,0.2575112879276275,0.570719301700592,-0.35001823306083685
7,17,early,deep,0.5732662081718445,0.1885724067687988,0.5370809435844421,-0.38469380140304565
7,18,early,deep,0.5760781168937683,0.1633065193891525,0.5215733051300049,-0.4127715975046158
7,19,early,deep,0.5649026036262512,0.1511887311935424,0.5118488073348999,-0.41371387243270885
7,20,early,deep,0.6012645959854126,0.1143888309597969,0.52597975730896,-0.4868757650256157
7,21,early,deep,0.4939630329608917,0.0315020866692066,0.4324762225151062,-0.4624609462916851
7,22,early,deep,0.5314141511917114,0.0413966029882431,0.4687050282955169,-0.4900175482034683
7,23,early,deep,0.5375942587852478,0.0462180711328983,0.4781343638896942,-0.49137618765234947
7,24,early,deep,0.5415710210800171,0.0527991577982902,0.4805441200733185,-0.4887718632817269
8,9,early,middle,0.9853835105895996,0.9760147333145142,0.9818705320358276,-0.00936877727508545
8,10,early,middle,0.938867688179016,0.8761775493621826,0.926777720451355,-0.06269013881683339
8,11,early,middle,0.8841906189918518,0.7600176930427551,0.8730979561805725,-0.12417292594909668
8,12,early,middle,0.8186846971511841,0.674313485622406,0.8084564805030823,-0.14437121152877808
8,13,early,middle,0.7721990346908569,0.588566780090332,0.7501179575920105,-0.1836322546005249
8,14,early,middle,0.7161653637886047,0.4652678668498993,0.7016564607620239,-0.25089749693870544
8,15,early,middle,0.6628329157829285,0.367550790309906,0.6452333331108093,-0.29528212547302246
8,16,early,middle,0.6489863991737366,0.2764782309532165,0.6227647662162781,-0.3725081682205201
8,17,early,deep,0.6131810545921326,0.2040187716484069,0.5875656008720398,-0.4091622829437257
8,18,early,deep,0.613691508769989,0.1763480752706527,0.5691736340522766,-0.43734343349933635
8,19,early,deep,0.5999627709388733,0.1629147082567215,0.5573816895484924,-0.4370480626821518
8,20,early,deep,0.6271232962608337,0.1227252259850502,0.5662047863006592,-0.5043980702757835
8,21,early,deep,0.5088355541229248,0.0362477488815784,0.4558078050613403,-0.4725878052413464
8,22,early,deep,0.5488235950469971,0.0463971570134162,0.496057391166687,-0.5024264380335809
8,23,early,deep,0.5569884777069092,0.0513624399900436,0.5067455172538757,-0.5056260377168655
8,24,early,deep,0.5613314509391785,0.0579487308859825,0.5098122954368591,-0.503382720053196
9,10,middle,middle,0.9742810130119324,0.9318048357963562,0.9690726399421692,-0.04247617721557617
9,11,middle,middle,0.9316806793212892,0.825851559638977,0.9268696904182434,-0.10582911968231212
9,12,middle,middle,0.8760311603546143,0.7355694770812988,0.871494472026825,-0.14046168327331543
9,13,middle,middle,0.8322240114212036,0.638462483882904,0.8168278932571411,-0.19376152753829956
9,14,middle,middle,0.7803303599357605,0.5100634694099426,0.770887553691864,-0.27026689052581787
9,15,middle,middle,0.726657509803772,0.4018203616142273,0.7120738625526428,-0.3248371481895447
9,16,middle,middle,0.7112246751785278,0.3011033535003662,0.6894034147262573,-0.4101213216781616
9,17,middle,deep,0.6740901470184326,0.219557449221611,0.6519647240638733,-0.4545326977968216
9,18,middle,deep,0.6717069149017334,0.1869150847196579,0.6324498653411865,-0.4847918301820755
9,19,middle,deep,0.655972957611084,0.1708267331123352,0.6194897294044495,-0.4851462244987488
9,20,middle,deep,0.6754743456840515,0.1262278109788894,0.6319210529327393,-0.549246534705162
9,21,middle,deep,0.5395593047142029,0.0406475029885768,0.5037315487861633,-0.4989118017256261
9,22,middle,deep,0.5836219191551208,0.0501743890345096,0.5483560562133789,-0.5334475301206112
9,23,middle,deep,0.5950594544410706,0.0550823099911212,0.5617555975914001,-0.5399771444499494
9,24,middle,deep,0.6004467010498047,0.0610903836786747,0.5658995509147644,-0.53935631737113
10,11,middle,middle,0.9769049882888794,0.8935083746910095,0.976623237133026,-0.08339661359786987
10,12,middle,middle,0.9340174794197084,0.8091790080070496,0.933025360107422,-0.1248384714126588
10,13,middle,middle,0.8964710235595703,0.6921786069869995,0.884660542011261,-0.2042924165725708
10,14,middle,middle,0.8516295552253723,0.5568812489509583,0.8425480723381042,-0.29474830627441406
10,15,middle,middle,0.7999711036682129,0.4404795169830322,0.7850648760795593,-0.35949158668518066
10,16,middle,middle,0.7816818356513977,0.3342934548854828,0.7606354355812073,-0.4473883807659149
10,17,middle,deep,0.743320107460022,0.2431578934192657,0.7198273539543152,-0.5001622140407562
10,18,middle,deep,0.7372927665710449,0.2077115029096603,0.6977601051330566,-0.5295812636613846
10,19,middle,deep,0.7191338539123535,0.1897973418235778,0.6820669770240784,-0.5293365120887757
10,20,middle,deep,0.7256945967674255,0.1423074305057525,0.6850193738937378,-0.583387166261673
10,21,middle,deep,0.5638099312782288,0.0531430467963218,0.5170996785163879,-0.510666884481907
10,22,middle,deep,0.6131572723388672,0.0623853243887424,0.5672638416290283,-0.5507719479501247
10,23,middle,deep,0.628650963306427,0.0685810670256614,0.5856021642684937,-0.5600698962807656
10,24,middle,deep,0.6341342926025391,0.0739818885922432,0.5907138586044312,-0.5601524040102959
11,12,middle,middle,0.9771280288696288,0.9373213052749634,0.974170744419098,-0.039806723594665416
11,13,middle,middle,0.9469535946846008,0.7932300567626953,0.935443103313446,-0.15372353792190552
11,14,middle,middle,0.9111542701721193,0.692767322063446,0.8992419242858887,-0.2183869481086732
11,15,middle,middle,0.8679983615875244,0.563308835029602,0.8517018556594849,-0.30468952655792236
11,16,middle,middle,0.8466439247131348,0.4530288577079773,0.8260781764984131,-0.39361506700515747
11,17,middle,deep,0.8040692806243896,0.3440434038639068,0.7809197306632996,-0.46002587676048284
11,18,middle,deep,0.7908526062965393,0.2966382801532745,0.7544761300086975,-0.4942143261432648
11,19,middle,deep,0.7669121026992798,0.2737994790077209,0.7336586713790894,-0.4931126236915589
11,20,middle,deep,0.7396840453147888,0.2196283936500549,0.7123845815658569,-0.5200556516647339
11,21,middle,deep,0.5530612468719482,0.1092639043927192,0.5230593681335449,-0.44379734247922903
11,22,middle,deep,0.6043931841850281,0.1245956346392631,0.5737912058830261,-0.479797549545765
11,23,middle,deep,0.6232569217681885,0.1328707337379455,0.5944294333457947,-0.490386188030243
11,24,middle,deep,0.6299774646759033,0.1372448801994323,0.599981963634491,-0.49273258447647106
12,13,middle,middle,0.9767396450042723,0.8835273385047913,0.9727548360824584,-0.09321230649948109
12,14,middle,middle,0.9485847353935242,0.7757852673530579,0.9427446722984314,-0.1727994680404663
12,15,middle,middle,0.9142995476722716,0.6332269310951233,0.9038723111152648,-0.2810726165771483
12,16,middle,middle,0.8908988237380981,0.5157387852668762,0.87803715467453,-0.3751600384712219
12,17,middle,deep,0.8434750437736511,0.3947262465953827,0.8293758034706116,-0.44874879717826843
12,18,middle,deep,0.8239040374755859,0.3421870172023773,0.7985847592353821,-0.4817170202732086
12,19,middle,deep,0.7932742238044739,0.3139238953590393,0.7737005352973938,-0.47935032844543457
12,20,middle,deep,0.7381799817085266,0.2525668442249298,0.736442506313324,-0.4856131374835968
12,21,middle,deep,0.5390657782554626,0.1337055116891861,0.5400460958480835,-0.40536026656627655
12,22,middle,deep,0.592218279838562,0.1509545892477035,0.5903854370117188,-0.4412636905908585
12,23,middle,deep,0.6114788055419922,0.1592025160789489,0.6109504699707031,-0.4522762894630433
