layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
12,0.32297834753990173,0.4339120388031006,0.5456415414810181,0.6495589017868042,0.6998485922813416,0.7174637913703918,0.7455450892448425,0.7768951654434204,0.8186846971511841,0.8760311603546143,0.9340174794197083,0.9771280288696289,1.0,0.9767396450042725,0.9485847353935242,0.9142995476722717,0.8908988237380981,0.8434750437736511,0.8239040374755859,0.7932742238044739,0.7381799817085266,0.5390657782554626,0.592218279838562,0.6114788055419922,0.6188008189201355
13,0.29262638092041016,0.4008868634700775,0.5060274600982666,0.5999208688735962,0.6493861675262451,0.6685389876365662,0.6987981796264648,0.7306488156318665,0.7721990346908569,0.8322240114212036,0.8964710235595703,0.9469535946846008,0.9767396450042725,1.0,0.9751718640327454,0.9469286799430847,0.9267860651016235,0.8803080320358276,0.8579210638999939,0.8256094455718994,0.7600538730621338,0.5401780605316162,0.596957266330719,0.6166090965270996,0.6244938373565674
14,0.25785231590270996,0.35952329635620117,0.45921745896339417,0.5522847771644592,0.6011384725570679,0.6150567531585693,0.6412693858146667,0.673265814781189,0.7161653637886047,0.7803303599357605,0.8516295552253723,0.9111542701721191,0.9485847353935242,0.9751718640327454,1.0000001192092896,0.9771872162818909,0.9606085419654846,0.9227724671363831,0.9005690217018127,0.8685551881790161,0.7948043346405029,0.5716904997825623,0.6250379681587219,0.6459420323371887,0.652722954750061
15,0.24386584758758545,0.34119713306427,0.4301406145095825,0.5064321756362915,0.5497685670852661,0.5602412819862366,0.5855045318603516,0.6199637651443481,0.6628329157829285,0.726657509803772,0.7999711036682129,0.8679983615875244,0.9142995476722717,0.9469286799430847,0.9771872162818909,1.0,0.9803785681724548,0.9469021558761597,0.9201464653015137,0.8854253888130188,0.7749820947647095,0.519485354423523,0.5726029872894287,0.5957326292991638,0.6026818752288818
16,0.22624985873699188,0.3207312524318695,0.40946805477142334,0.4879896640777588,0.534013032913208,0.5478401184082031,0.574021577835083,0.6075295209884644,0.6489863991737366,0.7112246751785278,0.7816818356513977,0.8466439247131348,0.8908988237380981,0.9267860651016235,0.9606085419654846,0.9803785681724548,1.0,0.9705026745796204,0.9473204612731934,0.9118196964263916,0.802537202835083,0.5437487363815308,0.5981946587562561,0.6209156513214111,0.6272581219673157
17,0.20530186593532562,0.28947240114212036,0.3761497437953949,0.45125722885131836,0.500636875629425,0.5147075057029724,0.5409879088401794,0.5732662081718445,0.6131810545921326,0.6740901470184326,0.743320107460022,0.8040692806243896,0.8434750437736511,0.8803080320358276,0.9227724671363831,0.9469021558761597,0.9705026745796204,0.9999998807907104,0.9780261516571045,0.952576756477356,0.8420347571372986,0.5704236030578613,0.6240893602371216,0.6495984792709351,0.6555191874504089
18,0.19363392889499664,0.2743874490261078,0.365196168422699,0.4438713788986206,0.4980684518814087,0.5165440440177917,0.544050931930542,0.5760781168937683,0.613691508769989,0.6717069149017334,0.7372927665710449,0.7908526062965393,0.8239040374755859,0.8579210638999939,0.9005690217018127,0.9201464653015137,0.9473204612731934,0.9780261516571045,1.0,0.9750843644142151,0.8715814352035522,0.5965049266815186,0.6514423489570618,0.6763817667961121,0.6815625429153442
19,0.18341626226902008,0.26014959812164307,0.3516603708267212,0.4312056005001068,0.48784175515174866,0.5077481269836426,0.5356225967407227,0.5649026036262512,0.5999627709388733,0.655972957611084,0.7191338539123535,0.7669121026992798,0.7932742238044739,0.8256094455718994,0.8685551881790161,0.8854253888130188,0.9118196964263916,0.952576756477356,0.9750843644142151,1.0,0.9071829319000244,0.6229910850524902,0.6759840846061707,0.7039942145347595,0.7094524502754211
20,0.14314717054367065,0.21154721081256866,0.3263728618621826,0.42814478278160095,0.5076255202293396,0.5450561046600342,0.5798690915107727,0.6012645959854126,0.6271232962608337,0.6754743456840515,0.7256945967674255,0.7396840453147888,0.7381799817085266,0.7600538730621338,0.7948043346405029,0.7749820947647095,0.802537202835083,0.8420347571372986,0.8715814352035522,0.9071829319000244,1.0,0.8279449939727783,0.8694270849227905,0.8894734382629395,0.8924961090087891
21,0.07639173418283463,0.13192905485630035,0.2452782541513443,0.36295318603515625,0.4354322850704193,0.4717753231525421,0.4922754764556885,0.4939630329608917,0.5088355541229248,0.5395593047142029,0.5638099312782288,0.5530612468719482,0.5390657782554626,0.5401780605316162,0.5716904997825623,0.519485354423523,0.5437487363815308,0.5704236030578613,0.5965049266815186,0.6229910850524902,0.8279449939727783,1.0,0.9827221035957336,0.9800659418106079,0.975802481174469
22,0.0904264748096466,0.14824789762496948,0.26468345522880554,0.38428154587745667,0.4622216522693634,0.5021500587463379,0.5264921188354492,0.5314141511917114,0.5488235950469971,0.5836219191551208,0.6131572723388672,0.6043931841850281,0.592218279838562,0.596957266330719,0.6250379681587219,0.5726029872894287,0.5981946587562561,0.6240893602371216,0.6514423489570618,0.6759840846061707,0.8694270849227905,0.9827221035957336,0.9999999403953552,0.9921316504478455,0.9898388981819153
