layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11,0.31911399960517883,0.3548925817012787,0.4546573758125305,0.5516809225082397,0.6270424723625183,0.665238082408905,0.6997051239013672,0.726301908493042,0.7600176930427551,0.825851559638977,0.8935083746910095,0.9999999403953552,0.9373213052749634,0.7932300567626953,0.692767322063446,0.563308835029602,0.4530288577079773,0.34404340386390686,0.29663828015327454,0.27379947900772095,0.21962839365005493,0.10926390439271927,0.12459563463926315,0.13287073373794556,0.13724488019943237
12,0.27544263005256653,0.3039443790912628,0.3927939236164093,0.47706738114356995,0.5439838767051697,0.581422746181488,0.6150758266448975,0.6415416598320007,0.674313485622406,0.7355694770812988,0.8091790080070496,0.9373213052749634,0.9999999403953552,0.8835273385047913,0.7757852673530579,0.6332269310951233,0.5157387852668762,0.3947262465953827,0.3421870172023773,0.3139238953590393,0.2525668442249298,0.1337055116891861,0.15095458924770355,0.15920251607894897,0.16357313096523285
13,0.20427528023719788,0.22113223373889923,0.2996528446674347,0.3843540847301483,0.44646111130714417,0.4931239187717438,0.5348796248435974,0.5585234761238098,0.588566780090332,0.638462483882904,0.6921786069869995,0.7932300567626953,0.8835273385047913,1.0,0.891995906829834,0.7486522793769836,0.6311854124069214,0.4939543604850769,0.4437212646007538,0.39734357595443726,0.316650927066803,0.17276211082935333,0.19176334142684937,0.1973622888326645,0.20108895003795624
14,0.18214868009090424,0.19859328866004944,0.25948062539100647,0.3152482509613037,0.357326477766037,0.3857918977737427,0.41836944222450256,0.43807488679885864,0.4652678668498993,0.5100634694099426,0.5568812489509583,0.692767322063446,0.7757852673530579,0.891995906829834,1.0,0.8991786241531372,0.7962165474891663,0.6630415320396423,0.6114220023155212,0.5663877129554749,0.4847005307674408,0.29430660605430603,0.32459864020347595,0.3351624011993408,0.33914363384246826
15,0.1535143405199051,0.17261305451393127,0.22158877551555634,0.25910618901252747,0.2903013527393341,0.30616238713264465,0.32767006754875183,0.34443339705467224,0.367550790309906,0.4018203616142273,0.4404795169830322,0.563308835029602,0.6332269310951233,0.7486522793769836,0.8991786241531372,1.0000001192092896,0.9232005476951599,0.81892329454422,0.7698186635971069,0.7091436982154846,0.569095253944397,0.3104715049266815,0.34368929266929626,0.3583233654499054,0.3649185299873352
16,0.12271156907081604,0.13918980956077576,0.17541053891181946,0.19965457916259766,0.22149845957756042,0.23065152764320374,0.24522165954113007,0.25751128792762756,0.27647823095321655,0.3011033535003662,0.3342934548854828,0.4530288577079773,0.5157387852668762,0.6311854124069214,0.7962165474891663,0.9232005476951599,1.0,0.9220267534255981,0.8784539103507996,0.8169424533843994,0.6806854009628296,0.38120701909065247,0.42496466636657715,0.4442750811576843,0.45164579153060913
17,0.09149686247110367,0.1069999411702156,0.1347305029630661,0.15117448568344116,0.16592168807983398,0.17071661353111267,0.1797129213809967,0.18857240676879883,0.20401877164840698,0.21955744922161102,0.24315789341926575,0.34404340386390686,0.3947262465953827,0.4939543604850769,0.6630415320396423,0.81892329454422,0.9220267534255981,0.9999998807907104,0.9551348686218262,0.9038509130477905,0.7633529901504517,0.4346625804901123,0.48644009232521057,0.5085636973381042,0.5184504985809326
18,0.08187848329544067,0.09714848548173904,0.12138134986162186,0.1354580521583557,0.14738346636295319,0.1500866711139679,0.15609639883041382,0.16330651938915253,0.17634807527065277,0.1869150847196579,0.20771150290966034,0.29663828015327454,0.3421870172023773,0.4437212646007538,0.6114220023155212,0.7698186635971069,0.8784539103507996,0.9551348686218262,1.0,0.9485517740249634,0.8151920437812805,0.45632204413414,0.5136457681655884,0.5368692874908447,0.5460125803947449
19,0.07237914949655533,0.08810549229383469,0.11027301102876663,0.12554201483726501,0.1381189525127411,0.14104768633842468,0.14486853778362274,0.15118873119354248,0.1629147082567215,0.1708267331123352,0.18979734182357788,0.27379947900772095,0.3139238953590393,0.39734357595443726,0.5663877129554749,0.7091436982154846,0.8169424533843994,0.9038509130477905,0.9485517740249634,1.0,0.895348072052002,0.5297346711158752,0.5897804498672485,0.61761075258255,0.6276288628578186
20,0.04861098527908325,0.06143706291913986,0.07908166944980621,0.09248975664377213,0.10268551111221313,0.10664069652557373,0.10939887166023254,0.1143888309597969,0.1227252259850502,0.12622781097888947,0.14230743050575256,0.21962839365005493,0.2525668442249298,0.316650927066803,0.4847005307674408,0.569095253944397,0.6806854009628296,0.7633529901504517,0.8151920437812805,0.895348072052002,1.0,0.7098608016967773,0.778097927570343,0.8018490672111511,0.809149444103241
